PROJECTION: Polar Stereographic
# South Polar Stereographic projection
DATUM: WGE
# ELLIPSOID: WE
# i.e. WGS 84 ellipsoid
LONGITUDE DOWN FROM POLE: 20.00000000
# i.e. Central Meridian
# The parameter is misnamed in this case:
# This is the Lon. UP from the Pole
LATITUDE OF TRUE SCALE: -90.00000000
# i.e. Latitude of unity scale
FALSE EASTING: 0.000
FALSE NORTHING: 0.000
# Summary of origins and offsets:
# South Pole is x=0, y=0
END OF HEADER
# produced by NGA Coordinate Systems Analysis Team
# Dec. 4, 2006

-284855222.810936,   50227661.377289
-271805690.043592,   98929180.680053
-250497478.924589,  144624786.888434
-221578028.666303,  185926042.130883
-185926042.130883,  221578028.666303
-144624786.888434,  250497478.924589
 -98929180.680053,  271805690.043592
 -50227661.377289,  284855222.810936
         0.000000,  289249573.776868
  50227661.377289,  284855222.810936
  98929180.680053,  271805690.043592
 144624786.888434,  250497478.924589
 185926042.130883,  221578028.666303
 -94488024.054615,   16660787.994659
 -90159423.182021,   32815346.376866
 -83091373.858911,   47972827.064778
 -73498635.187362,   61672677.677749
 -61672677.677749,   73498635.187362
 -47972827.064778,   83091373.858911
 -32815346.376866,   90159423.182021
 -16660787.994659,   94488024.054615
         0.000000,   95945654.129556
  16660787.994659,   94488024.054615
  32815346.376866,   90159423.182021
  47972827.064778,   83091373.858911
  61672677.677749,   73498635.187362
 -46456394.722600,    8191515.816037
 -45565676.469936,   12209286.212697
 -44328175.906027,   16134136.569110
 -42753311.157390,   19936196.404174
 -40853067.895689,   23586529.746798
 -38641908.119546,   27057355.356113
 -36136660.089991,   30322258.153490
 -33356390.257239,   33356390.257239
 -30322258.153490,   36136660.089991
 -27057355.356113,   38641908.119546
 -23586529.746798,   40853067.895689
 -19936196.404174,   42753311.157390
 -16134136.569110,   44328175.906027
 -12209286.212697,   45565676.469936
  -8191515.816037,   46456394.722600
  -4111403.037844,   46993551.760288
         0.000000,   47173059.493597
   4111403.037844,   46993551.760288
   8191515.816037,   46456394.722600
  12209286.212697,   45565676.469936
  16134136.569110,   44328175.906027
  19936196.404174,   42753311.157390
  23586529.746798,   40853067.895689
  27057355.356113,   38641908.119546
  30322258.153490,   36136660.089991
 -30084139.813241,    5304645.540480
 -28705952.099510,   10448112.110493
 -26455548.557148,   15274118.081028
 -23401306.559030,   19636027.702748
 -19636027.702748,   23401306.559030
 -15274118.081028,   26455548.557148
 -10448112.110493,   28705952.099510
 -10385460.623137,   28728678.010971
 -10322759.704673,   28751267.184115
 -10197210.768388,   28796034.886037
  -9945532.869202,   28883924.743019
  -9439924.122255,   29053099.063247
  -8931439.882973,   29213423.528057
  -7906465.313030,   29507330.256508
  -5304645.540480,   30084139.813241
  -2662454.212335,   30431990.900695
         0.000000,   30548236.162057
   2662454.212335,   30431990.900695
   5304645.540480,   30084139.813241
   7906465.313030,   29507330.256508
  10448112.110493,   28705952.099510
  12910242.466053,   27686104.313907
  15274118.081028,   26455548.557148
  17521748.434643,   25023650.101572
  19636027.702748,   23401306.559030
 -21613552.492121,    3811052.453320
 -20623411.750865,    7506308.006331
 -19006639.079509,   10973488.188945
 -16812359.297546,   14107244.485790
 -14107244.485790,   16812359.297546
 -10973488.188945,   19006639.079509
  -7506308.006331,   20623411.750865
  -5680295.469013,   21199151.292359
  -3811052.453320,   21613552.492121
  -1912805.027280,   21863461.506798
         0.000000,   21946976.377889
   1912805.027280,   21863461.506798
   3811052.453320,   21613552.492121
   5680295.469013,   21199151.292359
   7506308.006331,   20623411.750865
   9275193.007288,   19890715.593191
  10973488.188945,   19006639.079509
  12588268.499510,   17977910.565910
  13208020.096977,   17527634.673552
  13511907.855749,   17294453.394930
  13811679.756495,   17056004.058268
  13885968.900126,   16995577.066883
  13959993.674926,   16934826.504209
  14033752.671569,   16873753.526849
  14107244.485790,   16812359.297546
 -12520451.946045,    2207693.488751
 -12435777.433380,    2643306.092933
 -12335951.841497,    3075698.235810
 -12221096.792503,    3504343.114162
 -12091352.219582,    3928718.490232
 -11946876.196513,    4348307.327994
 -11787844.745073,    4762598.423083
 -11614451.620589,    5171087.025615
 -11426908.075875,    5573275.455151
 -11225442.603851,    5968673.707042
 -11010300.659161,    6356800.049425
 -10781744.359124,    6737181.610138
 -10540052.164387,    7109354.952842
 -10285518.539657,    7472866.641648
 -10018453.594950,    7827273.793559
  -9739182.707761,    8172144.618051
  -9448046.126650,    8507058.943148
  -9145398.556693,    8831608.727335
  -8831608.727335,    9145398.556693
  -8507058.943148,    9448046.126650
  -8172144.618051,    9739182.707761
  -7827273.793559,   10018453.594950
  -7472866.641648,   10285518.539657
  -7109354.952842,   10540052.164387
  -6737181.610138,   10781744.359124
  -6356800.049425,   11010300.659161
  -5968673.707042,   11225442.603851
  -5573275.455151,   11426908.075875
  -5171087.025615,   11614451.620589
  -4762598.423083,   11787844.745073
  -4348307.327994,   11946876.196513
  -3928718.490232,   12091352.219582
  -3504343.114162,   12221096.792503
  -3075698.235810,   12335951.841497
  -2643306.092933,   12435777.433380
  -2207693.488751,   12520451.946045
  -1769391.150123,   12589872.216641
  -1328933.080932,   12643953.667263
   -886855.911489,   12682630.407993
   -443698.244727,   12705855.317180
         0.000000,   12713600.098851
    443698.244727,   12705855.317180
    886855.911489,   12682630.407993
   1328933.080932,   12643953.667263
   1769391.150123,   12589872.216641
   2207693.488751,   12520451.946045
   2643306.092933,   12435777.433380
   3075698.235810,   12335951.841497
   3504343.114162,   12221096.792503
   3928718.490232,   12091352.219582
   4348307.327994,   11946876.196513
   4762598.423083,   11787844.745073
