PROJECTION: Polar Stereographic
# South Polar Stereographic projection
DATUM: WGE
# ELLIPSOID: WE
# i.e. WGS 84 ellipsoid
LONGITUDE DOWN FROM POLE: 20.00000000
# i.e. Central Meridian
# The parameter is misnamed in this case:
# This is the Lon. UP from the Pole
LATITUDE OF TRUE SCALE: -60.00000000
# i.e. Latitude of unity scale
FALSE EASTING: 20000000.000
FALSE NORTHING: 20000000.000
# Summary of origins and offsets:
# South Pole is x=20 000 000, y=20 000 000
END OF HEADER
# produced by NGA Coordinate Systems Analysis Team
# Dec. 4, 2006

-245789598.327453,   66865877.376796
-233613482.901634,  112307758.784775
-213731450.132464,  154944915.652060
-186747605.524839,  193481839.542678
-153481839.542678,  226747605.524839
-114944915.652060,  253731450.132464
 -72307758.784775,  273613482.901634
 -26865877.376796,  285789598.327453
  20000000.000000,  289889831.304119
  66865877.376796,  285789598.327453
 112307758.784775,  273613482.901634
 154944915.652060,  253731450.132464
 193481839.542678,  226747605.524839
 -68163852.894842,   35545665.988573
 -64124969.296734,   50618984.782569
 -57529991.075833,   64761961.217901
 -48579303.308161,   77544868.112273
 -37544868.112273,   88579303.308161
 -24761961.217901,   97529991.075833
 -10618984.782569,  104124969.296734
   4454334.011427,  108163852.894842
  20000000.000000,  109523922.435802
  35545665.988573,  108163852.894842
  50618984.782569,  104124969.296734
  64761961.217901,   97529991.075833
  77544868.112273,   88579303.308161
 -23347025.100034,   27643250.058583
 -22515923.446842,   31392107.353045
 -21361249.944403,   35054263.831807
 -19891792.355281,   38601848.272797
 -18118734.139013,   42007861.416327
 -16055569.339226,   45246381.445769
 -13717999.885820,   48292761.268227
 -11123816.093797,   51123816.093797
  -8292761.268227,   53717999.885820
  -5246381.445769,   56055569.339226
  -2007861.416327,   58118734.139013
   1398151.727203,   59891792.355281
   4945736.168193,   61361249.944403
   8607892.646955,   62515923.446842
  12356749.941417,   63347025.100034
  16163776.983945,   63848229.718566
  20000000.000000,   64015722.832654
  23836223.016055,   63848229.718566
  27643250.058583,   63347025.100034
  31392107.353045,   62515923.446842
  35054263.831807,   61361249.944403
  38601848.272797,   59891792.355281
  42007861.416327,   58118734.139013
  45246381.445769,   56055569.339226
  48292761.268227,   53717999.885820
  -8070580.409528,   24949600.690346
  -6784636.078798,   29748810.268335
  -4684854.134494,   34251807.179457
  -1835035.388452,   38321770.141193
   1678229.858807,   41835035.388452
   5748192.820543,   44684854.134494
  10251189.731665,   46784636.078798
  10309647.896815,   46805840.923909
  10368152.184604,   46826918.182726
  10485298.014041,   46868689.540802
  10720130.877810,   46950696.848072
  11191898.761986,   47108548.174009
  11666349.679125,   47258141.973565
  12622721.749656,   47532377.251858
  15050399.309654,   48070580.409528
  17515746.319556,   48395149.500801
  20000000.000000,   48503614.358913
  22484253.680444,   48395149.500801
  24949600.690346,   48070580.409528
  27377278.250344,   47532377.251858
  29748810.268335,   46784636.078798
  32046147.953691,   45833047.652173
  34251807.179457,   44684854.134494
  36349001.547110,   43348793.971729
  38321770.141193,   41835035.388452
   -166937.360749,   23555975.174958
    756932.341583,   27003903.843634
   2265492.917254,   30239022.438168
   4312907.516541,   33163033.517114
   6836966.482886,   35687092.483459
   9760977.561832,   37734507.082746
  12996096.156366,   39243067.658417
  14699891.979540,   39780272.417960
  16444024.825042,   40166937.360749
  18215220.788783,   40400119.733092
  20000000.000000,   40478044.876337
  21784779.211217,   40400119.733092
  23555975.174958,   40166937.360749
  25300108.020460,   39780272.417960
  27003903.843634,   39243067.658417
  28654395.729486,   38559411.534710
  30239022.438168,   37734507.082746
  31745724.003606,   36774632.323493
  32323995.051361,   36354493.814585
  32607543.320351,   36136919.575395
  32887251.209512,   35914429.874180
  32956568.111801,   35858047.317420
  33025638.339709,   35801362.846299
  33094460.578239,   35744377.540005
  33163033.517114,   35687092.483459
   8317553.524984,   22059930.514228
   8396560.693916,   22466387.162448
   8489704.866270,   22869838.897828
   8596872.560219,   23269794.176577
   8717933.208437,   23665765.714794
   8852739.317171,   24057271.082156
   9001126.645943,   24443833.289679
   9162914.407650,   24824981.370858
   9337905.488826,   25200250.955469
   9525886.689795,   25569184.835327
   9726628.984419,   25931333.521331
   9939887.799133,   26286255.791091
  10165403.310923,   26633519.226493
  10402900.763875,   26972700.740533
  10652090.803927,   27303387.092782
  10912669.831398,   27625175.392860
  11184320.370885,   27937673.591289
  11466711.458048,   28240500.957153
  11759499.042847,   28533288.541952
  12062326.408711,   28815679.629115
  12374824.607140,   29087330.168602
  12696612.907218,   29347909.196073
  13027299.259467,   29597099.236125
  13366480.773507,   29834596.689077
  13713744.208909,   30060112.200867
  14068666.478669,   30273371.015581
  14430815.164673,   30474113.310205
  14799749.044531,   30662094.511174
  15175018.629142,   30837085.592350
  15556166.710321,   30998873.354057
  15942728.917844,   31147260.682829
  16334234.285206,   31282066.791563
  16730205.823423,   31403127.439781
  17130161.102172,   31510295.133730
  17533612.837552,   31603439.306084
  17940069.485772,   31682446.475016
  18349035.842016,   31747220.382461
  18760013.643775,   31797682.111391
  19172502.177903,   31833770.181961
  19585998.890662,   31855440.626418
  20000000.000000,   31862667.042662
  20414001.109338,   31855440.626418
  20827497.822097,   31833770.181961
  21239986.356225,   31797682.111391
  21650964.157984,   31747220.382461
  22059930.514228,   31682446.475016
  22466387.162448,   31603439.306084
  22869838.897828,   31510295.133730
  23269794.176577,   31403127.439781
  23665765.714794,   31282066.791563
  24057271.082156,   31147260.682829
  24443833.289679,   30998873.354057
  24824981.370858,   30837085.592350
  25200250.955469,   30662094.511174
